Luca LIM POSITION,Luca LIM LAP TIME,Luca LIM ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME,Ariff Rasydan MOHAMAD FADZLI POSITION,Ariff Rasydan MOHAMAD FADZLI LAP TIME,Ariff Rasydan MOHAMAD FADZLI ELAPSED TIME,Patrik VELICKO POSITION,Patrik VELICKO LAP TIME,Patrik VELICKO ELAPSED TIME
2,15.28,15.28,3,15.42,15.42,5,15.67,15.67,1,15.18,15.18,4,15.54,15.54
2,12.41,27.69,4,12.42,27.84,3,12.10,27.77,1,12.34,27.52,5,12.41,27.95
2,10.81,38.50,3,10.72,38.56,1,10.62,38.39,4,11.16,38.68,5,10.91,38.86
3,10.02,48.52,1,9.69,48.25,2,9.99,48.38,5,10.58,49.26,4,10.32,49.18
3,10.04,58.56,2,10.15,58.40,1,9.94,58.32,5,10.33,59.59,4,10.07,59.25
3,9.74,1:08.30,2,9.80,1:08.20,1,9.82,1:08.14,5,10.30,1:09.89,4,10.28,1:09.53
3,9.71,1:18.01,2,9.52,1:17.72,1,9.40,1:17.54,5,10.41,1:20.30,4,10.44,1:19.97
3,9.61,1:27.62,2,9.41,1:27.13,1,9.35,1:26.89,5,10.43,1:30.73,4,10.71,1:30.68
3,9.57,1:37.177,2,9.49,1:36.598,1,9.58,1:36.453,5,11.27,1:41.964,4,11.10,1:41.765
