FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
5,12.96,12.96,1,12.64,12.64,3,12.87,12.87,6,13.08,,2,12.74,,4,12.95,12.95
6,9.61,22.57,1,9.45,22.09,4,9.50,22.37,2,9.17,,2,9.51,,5,9.54,22.49
6,8.86,31.43,5,9.33,31.42,3,8.91,31.28,1,8.67,,2,8.88,,3,8.79,31.28
5,9.03,40.46,6,9.18,40.60,4,9.11,40.39,1,9.15,,2,9.07,,3,9.00,40.28
5,9.07,49.53,6,9.07,49.67,4,8.96,49.35,2,9.12,,3,9.05,,1,8.88,49.16
6,9.20,58.73,4,8.97,58.64,5,9.37,58.72,2,9.23,,3,9.25,,1,9.15,58.31
6,9.48,1:08.21,3,8.94,1:07.58,4,9.04,1:07.76,2,9.14,,1,8.97,,5,9.76,1:08.07
6,9.61,1:17.82,2,9.10,1:16.68,3,8.99,1:16.75,4,9.85,,1,9.13,,5,9.43,1:17.50
4,9.81,1:27.633,2,9.61,1:26.290,1,9.16,1:25.914,6,10.27,,1,9.18,,3,9.80,1:27.307
