VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
1,15.32,15.32,3,15.39,15.39,2,15.34,15.34,4,15.53,15.53
2,10.46,25.78,3,10.55,25.94,1,10.24,25.58,4,10.53,26.06
2,9.89,35.67,3,9.82,35.76,1,9.96,35.54,4,9.82,35.88
2,10.16,45.83,3,10.19,45.95,1,10.16,45.70,4,10.17,46.05
2,10.09,55.92,1,9.81,55.76,3,10.25,55.95,4,10.00,56.05
2,9.96,1:05.88,1,9.46,1:05.22,4,10.17,1:06.12,3,10.06,1:06.11
2,9.94,1:15.82,1,9.75,1:14.97,4,10.28,1:16.40,3,9.85,1:15.96
2,10.28,1:26.10,1,10.06,1:25.03,4,10.79,1:27.19,3,10.29,1:26.25
2,10.57,1:36.669,1,10.46,1:35.487,4,11.26,1:38.447,3,10.55,1:36.791
