CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
0,12.460,12.460,0,12.497,12.497,0,12.932,12.932,0,12.904,12.904
0,9.379,21.839,0,9.428,21.925,0,9.985,22.917,0,9.688,22.591
0,9.454,31.293,0,9.483,31.408,0,9.157,32.073,0,9.557,32.148
0,9.565,40.858,0,9.350,40.758,0,9.589,41.663,0,9.647,41.794
0,9.368,50.227,0,9.538,50.295,0,8.817,50.480,0,9.571,51.365
0,9.251,59.478,0,9.600,59.895,0,9.151,59.630,0,9.421,1:00.786
0,9.367,1:08.845,0,9.293,1:09.188,0,9.848,1:09.478,0,9.667,1:10.453
0,9.698,1:18.542,0,9.811,1:18.999,0,9.932,1:19.410,0,9.917,1:20.370
0,9.554,1:28.096,0,9.328,1:28.327,0,8.986,1:28.396,0,9.760,1:30.130
0,9.416,1:37.512,0,9.275,1:37.602,0,9.622,1:38.018,0,10.153,1:40.283
0,9.502,1:47.013,0,9.556,1:47.159,0,8.911,1:46.929,0,9.883,1:50.166
0,9.464,1:56.477,0,9.554,1:56.713,0,9.440,1:56.368,0,9.782,1:59.948
0,9.570,2:06.047,0,9.784,2:06.496,0,9.798,2:06.166,0,10.240,2:10.189
0,9.727,2:15.774,0,9.304,2:15.800,0,9.664,2:15.830,0,10.405,2:20.594
0,9.591,2:25.365,0,9.766,2:25.566,0,9.479,2:25.309,0,10.370,2:30.964
0,9.725,2:35.090,0,9.340,2:34.906,0,9.484,2:34.793,0,10.252,2:41.216
0,9.514,2:44.604,0,10.027,2:44.934,0,9.285,2:44.077,0,10.037,2:51.252
0,,,0,,,0,,,0,,
