Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,9.31,9.31,3,9.36,9.36,4,9.37,9.37,5,9.60,9.60,6,9.75,9.75,1,9.26,9.26
5,13.34,22.65,2,12.84,22.20,4,13.12,22.49,6,13.14,22.74,1,12.37,22.12,3,12.98,22.24
5,11.15,33.80,3,11.40,33.60,4,11.27,33.76,6,11.28,34.02,1,11.27,33.39,2,11.28,33.52
1,10.15,43.95,4,10.54,44.14,5,10.63,44.39,6,10.47,44.49,2,10.57,43.96,3,10.54,44.06
1,9.76,53.71,4,9.95,54.09,5,9.88,54.27,6,9.86,54.35,2,9.94,53.90,3,9.95,54.01
1,10.37,1:04.08,4,10.26,1:04.35,5,10.19,1:04.46,6,10.20,1:04.55,2,10.27,1:04.17,3,10.28,1:04.29
1,10.75,1:14.83,4,10.79,1:15.14,5,10.85,1:15.31,6,10.83,1:15.38,3,10.91,1:15.08,2,10.68,1:14.97
1,10.46,1:25.29,4,10.53,1:25.67,5,10.48,1:25.79,6,10.51,1:25.89,3,10.50,1:25.58,2,10.47,1:25.44
1,10.16,1:35.45,4,10.24,1:35.91,5,10.25,1:36.04,6,10.24,1:36.13,2,10.21,1:35.79,3,10.38,1:35.82
1,10.26,1:45.71,3,10.16,1:46.07,5,10.17,1:46.21,4,10.02,1:46.15,2,10.25,1:46.04,6,10.70,1:46.52
1,10.16,1:55.87,2,9.90,1:55.97,5,10.12,1:56.33,3,9.92,1:56.07,4,10.28,1:56.32,6,10.99,1:57.51
1,10.36,2:06.23,2,10.38,2:06.35,4,10.42,2:06.75,3,10.33,2:06.40,5,10.76,2:07.08,6,11.77,2:09.28
1,10.20,2:16.43,2,10.16,2:16.51,4,10.77,2:17.52,3,10.21,2:16.61,5,10.87,2:17.95,6,11.55,2:20.83
1,10.51,2:26.931,2,10.52,2:27.023,4,11.42,2:28.931,3,10.61,2:27.217,5,11.16,2:29.105,6,11.61,2:32.439
