VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME
1,13.23,13.23,3,13.43,13.43,2,13.34,13.34,4,13.52,13.52,5,13.78,13.78
1,10.77,24.00,2,10.65,24.08,3,10.77,24.11,4,10.77,24.29,5,10.66,24.44
3,10.07,34.07,2,9.90,33.98,1,9.86,33.97,4,9.87,34.16,5,9.85,34.29
3,9.94,44.01,2,9.97,43.95,1,9.89,43.86,4,9.90,44.06,5,9.86,44.15
2,9.41,53.42,3,9.53,53.48,1,9.48,53.34,4,9.55,53.61,5,9.62,53.77
2,9.42,1:02.84,3,9.46,1:02.94,1,9.41,1:02.75,4,9.46,1:03.07,5,9.49,1:03.26
2,9.40,1:12.24,3,9.34,1:12.28,1,9.40,1:12.15,4,9.36,1:12.43,5,9.34,1:12.60
3,9.45,1:21.69,2,9.37,1:21.65,1,9.44,1:21.59,4,9.38,1:21.81,5,9.48,1:22.08
0,9.68,1:31.37,1,9.28,1:30.93,2,9.51,1:31.10,0,9.57,1:31.38,5,10.31,1:32.39
