Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
3,8.32,8.32,2,8.15,8.15,4,8.72,8.72,1,7.94,7.94,5,8.87,8.87
3,9.95,18.27,2,9.96,18.11,4,9.85,18.57,1,10.04,17.98,5,9.83,18.70
3,9.40,27.67,2,9.44,27.55,4,9.31,27.88,1,9.47,27.45,5,9.32,28.02
3,9.43,37.10,2,9.44,36.99,4,9.33,37.21,1,9.47,36.92,5,9.35,37.37
3,9.65,46.75,2,9.60,46.59,4,9.67,46.88,1,9.58,46.50,5,9.64,47.01
3,9.58,56.33,2,9.64,56.23,4,9.57,56.45,1,9.64,56.14,5,9.51,56.52
3,9.82,1:06.15,2,9.80,1:06.03,4,9.79,1:06.24,1,9.79,1:05.93,5,9.82,1:06.34
3,9.93,1:16.08,2,9.92,1:15.95,4,9.98,1:16.22,1,9.99,1:15.92,5,9.96,1:16.30
2,9.66,1:25.74,1,9.70,1:25.65,4,9.68,1:25.90,3,9.95,1:25.87,5,9.89,1:26.19
3,9.56,1:35.30,1,9.53,1:35.18,2,9.36,1:35.26,4,9.78,1:35.65,5,9.74,1:35.93
3,9.35,1:44.65,2,9.35,1:44.53,1,8.94,1:44.20,4,9.92,1:45.57,5,9.98,1:45.91
2,9.24,1:53.89,3,9.43,1:53.96,1,9.09,1:53.29,4,10.09,1:55.66,5,10.30,1:56.21
5,28.26,2:22.15,2,9.99,2:03.95,1,9.32,2:02.61,3,10.45,2:06.11,4,10.76,2:06.97
5,16.01,2:38.157,2,10.20,2:14.141,1,10.13,2:12.732,3,10.72,2:16.823,4,10.90,2:17.868
