Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
2,6.95,6.95,1,6.69,6.69,3,7.08,7.08,4,7.33,7.33
2,8.90,15.85,1,9.01,15.71,3,9.16,16.25,4,9.18,16.51
3,9.63,25.49,1,9.50,25.21,2,9.16,25.42,4,9.26,25.77
3,9.26,34.75,1,9.20,34.41,2,9.30,34.72,4,9.42,35.20
3,9.48,44.228,1,9.52,43.926,2,9.43,44.143,4,9.60,44.796
