Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,6.86,6.86,2,6.99,6.99,4,7.55,7.55,3,7.09,7.09
1,9.17,16.03,2,9.15,16.14,4,10.09,17.64,3,9.10,16.19
2,8.75,24.78,1,8.60,24.74,4,10.18,27.82,3,8.63,24.82
3,8.93,33.71,2,8.86,33.60,4,10.22,38.04,1,8.71,33.53
3,8.89,42.597,2,8.88,42.476,4,10.34,48.376,1,8.80,42.328
