VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
1,7.23,7.23,3,7.52,7.52,2,7.36,7.36,5,7.65,7.65,4,7.62,7.62
1,9.52,16.75,3,9.42,16.94,2,9.49,16.85,5,9.53,17.18,4,9.46,17.08
1,8.97,25.72,2,8.96,25.90,3,9.12,25.97,5,8.94,26.12,4,8.92,26.00
2,9.25,34.97,1,8.93,34.83,5,10.07,36.04,3,9.11,35.23,4,9.84,35.84
2,9.50,44.468,1,9.55,44.373,0,,PEN,3,9.28,44.503,4,9.56,45.400
