CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME
4,9.51,9.51,3,9.31,9.31,2,9.20,9.20,6,9.66,9.66,1,9.07,9.07,5,9.61,9.61
5,13.56,23.07,4,13.63,22.94,2,13.39,22.59,6,13.61,23.27,3,13.73,22.80,1,12.88,22.49
5,13.15,36.22,2,12.95,35.89,3,13.41,36.00,6,13.09,36.36,4,13.32,36.12,1,13.37,35.86
5,12.24,48.46,1,12.00,47.89,3,12.02,48.02,6,12.33,48.69,4,12.21,48.33,2,12.08,47.94
5,11.31,59.77,3,11.59,59.48,1,11.26,59.28,6,11.22,59.91,4,11.32,59.65,2,11.43,59.37
5,11.21,1:10.98,2,11.16,1:10.64,3,11.40,1:10.68,6,11.20,1:11.11,4,11.20,1:10.85,1,11.19,1:10.56
5,10.66,1:21.64,1,10.50,1:21.14,3,10.67,1:21.35,6,10.66,1:21.77,4,10.64,1:21.49,2,10.68,1:21.24
5,10.65,1:32.29,2,10.76,1:31.90,3,10.66,1:32.01,6,10.64,1:32.41,4,10.63,1:32.12,1,10.55,1:31.79
5,10.31,1:42.60,3,10.42,1:42.32,4,10.49,1:42.50,6,10.31,1:42.72,1,9.91,1:42.03,2,10.36,1:42.15
5,10.06,1:52.66,3,10.06,1:52.38,4,10.05,1:52.55,6,9.99,1:52.71,2,10.18,1:52.21,1,9.87,1:52.02
6,25.25,2:17.91,4,10.01,2:02.39,5,10.10,2:02.65,3,9.56,2:02.27,2,9.74,2:01.95,1,9.77,2:01.79
6,22.50,2:40.41,4,10.15,2:12.54,5,10.49,2:13.14,3,9.56,2:11.83,2,9.79,2:11.74,1,9.85,2:11.64
6,14.50,2:54.91,4,10.36,2:22.90,5,11.06,2:24.20,2,9.79,2:21.62,1,9.88,2:21.62,3,10.11,2:21.75
6,13.81,3:08.712,4,10.78,2:33.671,5,11.62,2:35.815,1,9.66,2:31.272,2,10.15,2:31.764,3,10.13,2:31.872
