HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME
3,7.58,7.58,1,7.19,7.19,2,7.31,7.31,4,7.68,7.68
3,9.32,16.90,1,9.36,16.55,2,9.32,16.63,4,9.44,17.12
3,8.74,25.64,2,8.94,25.49,1,8.76,25.39,4,8.89,26.01
2,8.86,34.50,3,9.13,34.62,1,8.90,34.29,4,9.12,35.13
2,9.23,43.73,3,9.20,43.82,1,9.01,43.30,4,9.40,44.53
