Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,LIU Songbo POSITION,LIU Songbo LAP TIME,LIU Songbo ELAPSED TIME,Emil KARNEEV POSITION,Emil KARNEEV LAP TIME,Emil KARNEEV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
5,9.02,9.02,3,8.88,8.88,2,8.83,8.83,4,8.95,8.95,1,8.80,8.80
4,12.41,21.43,2,12.19,21.07,3,12.27,21.10,5,12.51,21.46,1,12.14,20.94
1,11.14,32.57,4,11.98,33.05,3,11.85,32.95,5,11.73,33.19,2,11.71,32.65
1,11.57,44.14,4,11.56,44.61,3,11.55,44.50,5,11.52,44.71,2,11.71,44.36
1,11.82,55.96,3,11.68,56.29,5,11.83,56.33,4,11.58,56.29,2,11.81,56.17
2,10.63,1:06.59,1,10.10,1:06.39,5,10.62,1:06.95,4,10.34,1:06.63,3,10.43,1:06.60
2,10.20,1:16.79,1,10.38,1:16.77,4,10.13,1:17.08,3,10.38,1:17.01,5,10.53,1:17.13
3,10.15,1:26.94,2,10.05,1:26.82,1,9.61,1:26.69,4,10.17,1:27.18,5,10.06,1:27.19
2,10.01,1:36.95,3,10.13,1:36.95,1,10.15,1:36.84,5,9.91,1:37.09,4,9.87,1:37.06
3,10.21,1:47.16,1,10.15,1:47.10,2,10.28,1:47.12,4,10.14,1:47.23,5,10.42,1:47.48
2,9.85,1:57.01,3,9.91,1:57.01,1,9.83,1:56.95,4,9.99,1:57.22,5,9.83,1:57.31
3,9.75,2:06.76,2,9.70,2:06.71,1,9.63,2:06.58,4,9.70,2:06.92,5,9.73,2:07.04
2,9.76,2:16.52,3,9.86,2:16.57,1,9.73,2:16.31,4,9.76,2:16.68,5,9.80,2:16.84
4,11.34,2:27.859,2,10.05,2:26.619,1,10.08,2:26.387,0,,DQ,3,9.95,2:26.788
