IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Skyler KAH POSITION,Skyler KAH LAP TIME,Skyler KAH ELAPSED TIME
1,13.05,13.05,3,13.27,13.27,4,13.28,13.28,2,13.17,13.17,5,13.49,13.49
1,9.47,22.52,2,9.36,22.63,3,9.40,22.68,4,9.67,22.84,5,9.57,23.06
1,8.93,31.45,2,8.94,31.57,3,8.99,31.67,4,8.97,31.81,5,8.96,32.02
1,8.59,40.04,2,8.60,40.17,3,8.61,40.28,4,8.61,40.42,5,8.74,40.76
1,8.69,48.73,2,8.64,48.81,3,8.62,48.90,4,8.62,49.04,5,8.90,49.66
1,8.92,57.65,3,8.93,57.74,1,8.75,57.65,4,8.83,57.87,5,9.20,58.86
4,9.19,1:06.84,2,8.81,1:06.55,1,8.78,1:06.43,3,8.96,1:06.83,5,9.57,1:08.43
4,9.77,1:16.61,2,8.82,1:15.37,1,8.79,1:15.22,3,8.85,1:15.68,5,9.83,1:18.26
4,10.86,1:27.47,2,9.04,1:24.41,1,9.01,1:24.23,3,8.97,1:24.65,5,10.24,1:28.50
