Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,SONG Kyung-Taek POSITION,SONG Kyung-Taek LAP TIME,SONG Kyung-Taek ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
4,6.726,6.726,2,6.650,6.650,1,6.579,6.579,3,6.678,6.678
1,8.949,15.675,2,9.069,15.718,4,9.358,15.937,3,9.197,15.875
1,8.605,24.279,3,8.646,24.364,4,8.596,24.532,2,8.444,24.318
1,8.580,32.858,3,8.578,32.942,4,8.828,33.360,2,8.556,32.874
4,9.84,42.693,2,9.49,42.427,3,9.08,42.432,1,9.43,42.304
