ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,TREACY Ethan POSITION,TREACY Ethan LAP TIME,TREACY Ethan ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
4,13.41,13.41,2,13.10,13.10,5,13.52,13.52,1,12.99,12.99,3,13.28,13.28
4,10.18,23.59,2,10.23,23.33,5,10.20,23.72,1,10.21,23.20,3,10.21,23.49
4,9.84,33.43,2,9.95,33.28,5,9.83,33.55,1,9.98,33.18,3,9.92,33.41
2,9.12,42.55,3,9.37,42.65,5,9.38,42.93,1,9.22,42.40,4,9.35,42.76
2,8.91,51.46,4,9.09,51.74,5,8.94,51.87,1,8.97,51.37,3,8.83,51.59
3,8.88,1:00.34,4,9.03,1:00.77,5,8.94,1:00.81,1,8.87,1:00.24,2,8.72,1:00.31
3,9.01,1:09.35,4,9.18,1:09.95,5,9.35,1:10.16,1,8.87,1:09.11,2,8.94,1:09.25
3,9.09,1:18.44,4,9.36,1:19.31,5,9.46,1:19.62,2,9.19,1:18.30,1,9.01,1:18.26
3,9.47,1:27.91,4,9.73,1:29.04,5,10.08,1:29.70,2,9.45,1:27.75,1,9.15,1:27.41
