Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME
4,9.88,9.88,7,10.03,10.03,1,9.71,9.71,9,10.23,10.23,8,10.04,10.04,5,10.01,,3,9.84,9.84,6,10.02,10.02,2,9.72,9.72
5,12.90,22.78,6,12.85,22.88,4,12.94,22.65,9,12.85,23.08,7,12.94,22.98,8,12.98,,1,12.46,22.30,3,12.51,22.53,2,12.68,22.40
6,12.03,34.81,8,12.07,34.95,2,11.81,34.46,4,11.55,34.63,9,12.16,35.14,7,11.89,,1,12.09,34.39,5,12.17,34.70,3,12.13,34.53
7,10.24,45.05,7,10.10,45.05,3,10.30,44.76,1,10.06,44.69,9,10.12,45.26,4,9.91,,2,10.33,44.72,6,10.24,44.94,5,10.32,44.85
7,10.44,55.49,6,10.33,55.38,3,10.37,55.13,1,10.27,54.96,9,10.49,55.75,3,10.34,,2,10.32,55.04,8,10.69,55.63,5,10.41,55.26
5,10.81,1:06.30,8,20.19,1:15.57,1,10.55,1:05.68,2,10.80,1:05.76,7,10.70,1:06.45,4,10.81,,3,10.80,1:05.84,6,10.71,1:06.34,9,20.74,1:16.00
7,10.75,1:17.05,8,16.96,1:32.53,1,10.81,1:16.49,3,10.87,1:16.63,4,10.26,1:16.71,5,10.84,,2,10.77,1:16.61,6,10.61,1:16.95,9,18.12,1:34.12
7,10.26,1:27.31,8,13.61,1:46.14,2,10.22,1:26.71,5,10.44,1:27.07,1,9.91,1:26.62,4,10.15,,3,10.23,1:26.84,6,10.24,1:27.19,9,14.47,1:48.59
7,10.34,1:37.65,8,13.13,1:59.27,2,10.42,1:37.13,6,10.46,1:37.53,1,10.43,1:37.05,5,10.51,,3,10.37,1:37.21,4,10.17,1:37.36,9,11.88,2:00.47
7,10.51,1:48.16,8,11.50,2:10.77,2,10.31,1:47.44,6,10.47,1:48.00,1,10.32,1:47.37,5,10.45,,3,10.39,1:47.60,4,10.41,1:47.77,9,11.39,2:11.86
7,9.92,1:58.08,8,11.54,2:22.31,2,9.89,1:57.33,6,9.91,1:57.91,1,9.85,1:57.22,5,9.94,,3,9.99,1:57.59,4,10.02,1:57.79,9,11.46,2:23.32
7,10.04,2:08.12,8,11.47,2:33.78,2,9.82,2:07.15,5,9.91,2:07.82,1,9.81,2:07.03,6,10.08,,4,10.09,2:07.68,3,9.64,2:07.43,9,11.39,2:34.71
6,10.54,2:18.66,8,11.57,2:45.35,2,9.89,2:17.04,4,10.06,2:17.88,1,9.92,2:16.95,5,10.39,,7,25.40,2:33.08,3,9.77,2:17.20,9,11.31,2:46.02
5,11.43,2:30.068,7,12.53,2:57.859,2,10.00,2:27.020,4,9.96,2:27.820,1,10.00,2:26.929,5,11.21,,6,24.37,2:57.407,3,10.06,2:27.232,8,12.01,2:58.003
