Jakov DOLINIC POSITION,Jakov DOLINIC LAP TIME,Jakov DOLINIC ELAPSED TIME,Lukasz MICHALCZUK POSITION,Lukasz MICHALCZUK LAP TIME,Lukasz MICHALCZUK ELAPSED TIME,UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Peter ANDERL POSITION,Peter ANDERL LAP TIME,Peter ANDERL ELAPSED TIME
1,7.52,7.52,4,7.99,7.99,2,7.81,7.81,5,8.19,8.19,3,7.83,7.83,6,8.43,8.43
1,10.00,17.52,4,9.90,17.89,3,9.92,17.73,5,9.88,18.08,2,9.87,17.70,6,9.80,18.23
1,9.50,27.02,4,9.51,27.41,3,9.52,27.26,5,9.40,27.48,2,9.44,27.15,6,9.39,27.63
1,9.93,36.96,4,9.72,37.13,2,9.76,37.03,5,9.82,37.31,3,9.89,37.05,6,9.84,37.47
1,9.83,46.80,4,10.04,47.18,3,9.99,47.02,5,9.93,47.24,2,9.95,47.00,6,9.90,47.37
4,10.51,57.31,3,10.07,57.25,1,9.67,56.69,5,10.10,57.35,2,9.79,56.80,6,10.07,57.44
6,10.15,1:07.46,3,9.39,1:06.65,1,9.13,1:05.83,4,9.52,1:06.87,2,9.77,1:06.57,5,9.63,1:07.08
6,10.46,1:17.93,4,9.77,1:16.42,1,9.51,1:15.34,2,9.25,1:16.13,5,10.04,1:16.62,3,9.30,1:16.39
6,10.98,1:28.91,4,9.52,1:25.94,1,9.65,1:25.00,2,9.39,1:25.53,5,9.57,1:26.19,3,9.49,1:25.88
6,11.36,1:40.27,2,9.16,1:35.11,1,9.59,1:34.59,3,9.58,1:35.12,5,9.45,1:35.65,4,9.47,1:35.36
6,11.71,1:51.98,3,9.85,1:44.97,1,9.45,1:44.05,2,9.41,1:44.53,5,9.79,1:45.44,4,9.78,1:45.14
6,12.43,2:04.42,3,9.95,1:54.92,1,9.60,1:53.65,2,9.40,1:53.93,5,9.98,1:55.42,4,10.18,1:55.33
6,12.17,2:16.59,3,10.37,2:05.29,1,9.39,2:03.05,2,9.86,2:03.80,5,10.78,2:06.21,4,10.68,2:06.01
5,11.86,2:28.444,3,10.83,2:16.114,1,10.30,2:13.347,2,10.90,2:14.699,4,10.79,2:16.991,0,,DQ
