KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME
2,13.30,13.30,1,13.27,13.27,3,13.42,13.42,4,13.53,13.53
1,10.03,23.33,3,10.14,23.41,2,9.91,23.33,4,10.05,23.58
2,9.44,32.77,3,9.50,32.91,1,9.32,32.65,4,9.44,33.02
1,8.99,41.76,4,9.15,42.06,2,9.22,41.87,3,8.94,41.96
1,9.07,50.83,4,9.10,51.16,2,9.04,50.91,3,9.06,51.02
1,9.17,1:00.00,4,9.14,1:00.30,2,9.18,1:00.09,3,9.15,1:00.17
1,9.19,1:09.19,4,9.23,1:09.53,2,9.22,1:09.31,3,9.23,1:09.40
1,9.25,1:18.44,4,9.30,1:18.83,2,9.28,1:18.59,3,9.32,1:18.72
1,9.45,1:27.883,4,9.30,1:28.123,2,9.40,1:27.982,3,9.35,1:28.070
