Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,12.88,12.88,2,12.93,12.93,4,13.20,13.20,3,13.06,13.06
1,10.33,23.21,2,10.36,23.29,4,10.33,23.53,3,10.33,23.39
1,10.20,33.41,2,10.21,33.50,4,10.23,33.76,3,10.25,33.64
1,9.59,43.00,2,9.61,43.11,4,9.54,43.30,3,9.56,43.20
1,9.17,52.17,2,9.15,52.26,4,9.19,52.49,3,9.16,52.36
1,8.97,1:01.14,2,8.96,1:01.22,4,8.91,1:01.40,3,8.94,1:01.30
1,8.92,1:10.06,2,8.93,1:10.15,4,8.96,1:10.36,3,8.95,1:10.25
1,9.06,1:19.12,4,26.11,1:36.26,3,9.08,1:19.44,2,9.02,1:19.27
1,9.26,1:28.379,4,23.87,2:00.126,3,9.24,1:28.680,2,9.18,1:28.444
