Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,13.730,13.730,3,13.870,13.870,1,13.700,13.700,4,14.010,14.010
1,10.520,24.260,3,10.590,24.470,2,10.630,24.340,4,10.530,24.550
3,10.350,34.610,2,10.050,34.520,1,10.070,34.410,4,10.290,34.840
3,10.060,44.680,2,10.080,44.600,1,10.050,44.460,4,9.940,44.790
2,10.010,54.690,3,10.130,54.740,1,10.180,54.650,4,10.070,54.860
3,10.190,1:04.880,2,10.060,1:04.800,1,9.990,1:04.640,4,10.180,1:05.050
3,9.860,1:14.740,2,9.910,1:14.720,1,10.000,1:14.640,4,9.990,1:15.040
3,10.260,1:25.010,2,10.180,1:24.900,1,10.100,1:24.750,4,10.240,1:25.280
3,10.490,1:35.500,2,10.450,1:35.360,1,10.460,1:35.220,4,10.840,1:36.130
