PARK Jin-Hwan POSITION,PARK Jin-Hwan LAP TIME,PARK Jin-Hwan ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
4,7.36,7.36,2,7.01,7.01,3,7.14,7.14,1,6.78,6.78
1,8.93,16.29,3,9.31,16.33,4,9.34,16.48,2,9.54,16.33
2,8.96,25.26,3,8.96,25.30,1,8.69,25.18,4,10.46,26.80
2,8.87,34.13,3,8.87,34.17,1,8.65,33.83,4,9.60,36.40
2,9.17,43.296,3,9.33,43.495,1,8.94,42.764,4,9.76,46.154
