Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Aleksandr KOVAL POSITION,Aleksandr KOVAL LAP TIME,Aleksandr KOVAL ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,13.72,13.72,2,13.73,13.73,3,14.05,14.05,5,14.32,14.32,4,14.18,14.18
2,10.28,24.00,1,10.19,23.92,4,10.03,24.08,5,9.90,24.22,3,9.89,24.07
2,10.55,34.55,1,10.53,34.45,3,10.51,34.59,4,10.46,34.68,5,10.65,34.72
3,9.84,44.39,1,9.78,44.23,4,9.96,44.55,2,9.71,44.39,5,9.92,44.64
3,9.59,53.98,1,9.67,53.90,4,9.54,54.09,2,9.57,53.96,5,9.45,54.09
3,9.64,1:03.62,1,9.47,1:03.37,4,9.61,1:03.70,2,9.52,1:03.48,5,9.65,1:03.74
3,9.58,1:13.20,1,9.61,1:12.98,4,9.60,1:13.30,2,9.55,1:13.03,5,9.77,1:13.51
1,9.38,1:22.58,3,9.99,1:22.97,2,9.54,1:22.84,5,10.40,1:23.43,4,9.56,1:23.07
1,9.56,1:32.140,3,9.49,1:32.455,2,9.60,1:32.433,5,11.83,1:35.259,4,9.83,1:32.893
