Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
1,13.39,13.39,2,13.49,13.49,4,13.72,13.72,3,13.59,13.59
1,10.39,23.78,2,10.38,23.87,4,10.36,24.08,3,10.37,23.96
1,10.28,34.06,2,10.30,34.17,4,10.27,34.35,3,10.29,34.25
1,10.39,44.45,2,10.37,44.54,4,10.39,44.74,3,10.38,44.63
2,10.15,54.60,1,10.03,54.57,4,10.11,54.85,3,10.10,54.73
2,9.85,1:04.45,1,9.78,1:04.35,4,9.77,1:04.62,3,9.80,1:04.53
2,10.10,1:14.55,1,10.07,1:14.42,4,10.12,1:14.74,3,10.11,1:14.64
2,9.84,1:24.39,1,9.84,1:24.26,4,9.81,1:24.55,3,9.82,1:24.46
3,1:455.61,9:59.993,2,1:455.74,9:59.992,1,1:455.45,9:59.991,4,1:455.54,9:59.994
