FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,NETHERLANDS POSITION,NETHERLANDS LAP TIME,NETHERLANDS ELAPSED TIME
0,12.423,12.423,0,12.485,12.485,0,11.681,11.681
0,9.599,22.021,0,9.840,22.324,0,9.660,21.341
0,9.672,31.693,0,9.462,31.786,0,9.485,30.826
0,9.460,41.153,0,9.428,41.214,0,9.341,40.167
0,9.258,50.411,0,9.506,50.720,0,9.635,49.802
0,9.497,59.908,0,9.427,1:00.148,0,9.188,58.989
0,9.082,1:08.990,0,9.095,1:09.243,0,9.464,1:08.454
0,9.214,1:18.204,0,9.412,1:18.655,0,9.321,1:17.774
0,9.116,1:27.320,0,8.926,1:27.581,0,9.300,1:27.074
0,9.104,1:36.423,0,9.224,1:36.805,0,8.958,1:36.031
0,9.852,1:46.275,0,9.298,1:46.102,0,9.364,1:45.396
0,9.458,1:55.733,0,9.396,1:55.498,0,9.460,1:54.856
0,9.274,2:05.007,0,9.309,2:04.807,0,9.461,2:04.317
0,9.068,2:14.076,0,9.114,2:13.921,0,8.944,2:13.261
0,9.074,2:23.149,0,9.163,2:23.084,0,9.130,2:22.391
0,9.350,2:32.499,0,9.366,2:32.449,0,9.730,2:32.120
0,9.333,2:41.832,0,9.833,2:42.282,0,9.287,2:41.407
0,9.261,2:51.093,0,9.319,2:51.601,0,9.696,2:51.103
0,8.977,3:00.070,0,9.349,3:00.950,0,8.991,3:00.095
0,8.905,3:08.975,0,9.055,3:10.005,0,8.561,3:08.656
0,9.076,3:18.050,0,8.796,3:18.800,0,9.140,3:17.796
0,9.444,3:27.495,0,9.302,3:28.102,0,9.315,3:27.111
0,9.742,3:37.237,0,9.306,3:37.408,0,9.546,3:36.657
0,9.167,3:46.403,0,9.578,3:46.986,0,9.284,3:45.940
0,9.128,3:55.531,0,9.278,3:56.264,0,9.478,3:55.419
0,9.176,4:04.707,0,8.956,4:05.220,0,9.016,4:04.435
0,9.066,4:13.773,0,9.061,4:14.282,0,9.187,4:13.622
0,9.476,4:23.249,0,8.980,4:23.262,0,9.342,4:22.965
0,9.615,4:32.864,0,9.750,4:33.012,0,8.618,4:31.583
0,9.315,4:42.179,0,9.508,4:42.520,0,10.470,4:42.053
0,9.448,4:51.627,0,9.199,4:51.719,0,9.086,4:51.140
0,9.063,5:00.689,0,9.147,5:00.866,0,9.341,5:00.481
0,9.451,5:10.140,0,9.120,5:09.986,0,8.626,5:09.107
0,9.383,5:19.523,0,9.652,5:19.638,0,9.869,5:18.976
0,9.532,5:29.056,0,9.656,5:29.294,0,9.660,5:28.636
0,9.585,5:38.640,0,9.595,5:38.889,0,9.517,5:38.153
0,9.575,5:48.215,0,9.500,5:48.389,0,9.617,5:47.770
0,9.223,5:57.438,0,9.380,5:57.769,0,9.421,5:57.190
0,9.244,6:06.682,0,9.041,6:06.810,0,9.306,6:06.496
0,9.659,6:16.342,0,9.675,6:16.485,0,9.171,6:15.667
0,9.691,6:26.033,0,9.726,6:26.212,0,10.038,6:25.705
0,9.357,6:35.390,0,9.766,6:35.977,0,8.962,6:34.667
0,8.975,6:44.365,0,9.432,6:45.410,0,9.872,6:44.540
0,9.276,6:53.641,0,9.368,6:54.778,0,9.937,6:54.476
0,10.045,7:03.686,0,9.421,7:04.198,0,8.670,7:03.146
