Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
2,13.36,13.36,1,13.24,13.24,3,13.45,13.45,4,13.55,13.55
3,10.18,23.54,1,10.13,23.37,2,10.02,23.47,4,10.09,23.64
4,10.10,33.64,1,10.11,33.48,2,10.10,33.57,3,9.98,33.62
3,9.79,43.43,1,9.78,43.26,2,9.81,43.38,4,9.84,43.46
2,9.34,52.77,1,9.44,52.70,3,9.43,52.81,4,9.52,52.98
2,9.23,1:02.00,1,9.22,1:01.92,3,9.32,1:02.13,4,9.30,1:02.28
2,9.34,1:11.34,1,9.29,1:11.21,3,9.29,1:11.42,4,9.20,1:11.48
2,9.35,1:20.69,1,9.41,1:20.62,3,9.37,1:20.79,3,9.31,1:20.79
2,9.59,1:30.28,1,9.59,1:30.21,3,9.56,1:30.35,4,9.59,1:30.368
