Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
3,12.43,12.43,1,12.21,12.21,4,12.50,12.50,2,12.31,12.31
3,9.94,22.37,1,9.93,22.14,4,10.00,22.50,2,9.93,22.24
3,9.76,32.13,1,9.81,31.95,4,9.72,32.22,2,9.79,32.03
3,9.54,41.67,1,9.49,41.44,4,9.62,41.84,2,9.48,41.51
3,8.93,50.60,1,8.94,50.38,4,8.90,50.74,2,8.97,50.48
3,8.73,59.33,1,8.77,59.15,4,8.68,59.42,2,8.74,59.22
3,8.74,1:08.07,1,8.77,1:07.92,4,8.76,1:08.18,2,8.76,1:07.98
4,16.90,1:24.97,1,8.90,1:16.82,3,8.79,1:16.97,2,8.97,1:16.95
4,31.32,1:56.288,1,9.00,1:25.813,3,9.02,1:25.987,2,8.94,1:25.886
