Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME
3,11.13,11.13,4,11.24,11.24,2,10.98,10.98,1,10.84,10.84,5,11.38,11.38,7,11.50,11.50,5,11.38,11.38
4,14.47,25.60,5,14.52,25.76,2,14.36,25.34,3,14.61,25.45,6,14.51,25.89,7,14.45,25.95,1,13.84,25.22
1,12.85,38.45,6,12.89,38.65,2,13.13,38.47,5,13.14,38.59,7,12.96,38.85,4,12.63,38.58,3,13.26,38.48
1,11.70,50.15,6,12.07,50.72,3,11.92,50.39,4,11.88,50.47,7,11.97,50.82,2,11.72,50.30,5,12.11,50.59
1,12.89,1:03.04,6,12.96,1:03.68,3,12.88,1:03.27,4,12.88,1:03.35,7,12.96,1:03.78,2,12.86,1:03.16,5,12.96,1:03.55
1,13.09,1:16.13,5,12.90,1:16.58,2,12.95,1:16.22,4,13.06,1:16.41,7,12.94,1:16.72,3,13.15,1:16.31,6,13.13,1:16.68
2,12.05,1:28.18,3,11.67,1:28.25,5,12.22,1:28.44,1,11.74,1:28.15,6,11.86,1:28.58,4,12.10,1:28.41,7,12.03,1:28.71
2,10.54,1:38.72,3,10.50,1:38.75,5,10.52,1:38.96,1,10.45,1:38.60,6,10.46,1:39.04,4,10.46,1:38.87,7,10.46,1:39.17
2,11.08,1:49.80,2,11.05,1:49.80,5,11.07,1:50.03,1,11.10,1:49.70,6,11.17,1:50.21,4,11.04,1:49.91,7,11.16,1:50.33
4,9.96,1:59.76,1,9.69,1:59.49,5,9.83,1:59.86,3,10.01,1:59.71,6,9.86,2:00.07,2,9.66,1:59.57,7,10.00,2:00.33
3,9.43,2:09.19,1,9.52,2:09.01,4,9.43,2:09.29,5,9.64,2:09.35,6,9.62,2:09.69,2,9.53,2:09.10,7,9.77,2:10.10
3,9.54,2:18.73,1,9.59,2:18.60,4,9.55,2:18.84,5,9.66,2:19.01,6,9.72,2:19.41,2,9.60,2:18.70,7,9.97,2:20.07
2,9.50,2:28.23,1,9.44,2:28.04,4,9.58,2:28.42,5,9.62,2:28.63,6,10.04,2:29.45,3,9.55,2:28.25,7,10.36,2:30.43
4,10.20,2:38.408,1,9.91,2:37.95,3,9.88,2:38.287,5,10.06,2:38.677,6,10.47,2:39.901,2,10.02,2:38.27,7,11.35,2:41.761
