Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
1,7.84,7.84,5,8.45,8.45,2,8.00,8.00,3,8.14,8.14,6,8.57,8.57,4,8.30,8.30
1,11.39,19.23,4,11.01,19.46,2,11.32,19.32,5,11.40,19.54,6,11.12,19.69,3,11.13,19.43
2,10.17,29.40,1,9.91,29.37,4,10.21,29.53,3,9.89,29.43,5,9.96,29.65,6,10.37,29.80
1,9.67,39.07,5,10.05,39.42,3,9.76,39.29,2,9.74,39.17,4,9.76,39.41,6,9.76,39.56
1,10.07,49.14,5,10.10,49.52,3,10.05,49.34,2,9.97,49.14,4,10.03,49.44,6,10.08,49.64
2,9.70,58.84,5,9.65,59.17,3,9.61,58.95,1,9.62,58.76,4,9.63,59.07,6,9.66,59.30
1,9.34,1:08.18,5,9.45,1:08.62,3,9.51,1:08.46,2,9.54,1:08.30,4,9.45,1:08.52,6,9.49,1:08.79
1,9.54,1:17.72,3,9.18,1:17.80,5,9.43,1:17.89,4,9.56,1:17.86,2,9.27,1:17.79,6,9.18,1:17.97
1,9.36,1:27.08,2,9.39,1:27.19,5,10.03,1:27.92,4,9.57,1:27.43,3,9.48,1:27.27,6,28.92,1:46.89
1,9.30,1:36.38,5,17.52,1:44.71,4,9.08,1:37.00,3,9.18,1:36.61,2,9.23,1:36.50,6,18.47,2:05.36
3,9.26,1:45.64,5,32.48,2:17.19,4,9.04,1:46.04,2,9.01,1:45.62,1,9.01,1:45.51,6,15.14,2:20.50
3,8.99,1:54.63,5,14.16,2:31.35,4,9.11,1:55.15,2,8.89,1:54.51,1,8.85,1:54.36,6,13.05,2:33.55
3,8.90,2:03.53,5,12.42,2:43.77,4,9.34,2:04.49,2,8.94,2:03.45,1,8.90,2:03.26,6,12.02,2:45.57
2,9.25,2:12.776,5,11.76,2:55.521,4,9.74,2:14.225,3,9.47,2:12.919,1,9.14,2:12.397,0,,PEN
