Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
3,13.54,13.54,2,13.53,13.53,4,13.73,13.73,1,13.40,13.40,4,13.73,13.73
3,10.42,23.96,2,10.31,23.84,5,10.47,24.20,1,10.30,23.70,4,10.36,24.09
3,10.05,34.01,2,10.06,33.90,5,10.05,34.25,1,10.09,33.79,4,10.04,34.13
4,9.74,43.75,2,9.62,43.52,5,9.62,43.87,1,9.66,43.45,3,9.51,43.64
4,9.59,53.34,2,9.61,53.13,5,9.61,53.48,1,9.56,53.01,3,9.58,53.22
4,9.34,1:02.68,1,9.16,1:02.29,5,9.43,1:02.91,2,9.43,1:02.44,3,9.34,1:02.56
4,8.95,1:11.63,1,8.71,1:11.00,5,9.31,1:12.22,2,9.06,1:11.50,3,9.05,1:11.61
2,9.12,1:20.75,1,8.82,1:19.82,5,9.49,1:21.71,4,9.35,1:20.85,3,9.19,1:20.80
0,9.75,1:30.50,1,9.68,1:29.50,5,9.86,1:31.57,0,9.64,1:30.49,2,9.36,1:30.16
