Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
2,12.870,12.870,5,13.049,13.049,3,12.909,12.909,4,12.991,12.991,1,12.727,12.727
5,9.967,22.836,1,9.203,22.252,4,9.806,22.714,2,9.428,22.419,3,9.796,22.523
5,9.017,31.853,1,8.943,31.195,4,9.116,31.830,3,9.208,31.627,2,9.069,31.592
5,9.068,40.921,1,9.159,40.354,4,9.059,40.888,2,8.929,40.555,3,9.101,40.692
4,9.220,50.141,1,9.364,49.717,5,9.287,50.175,2,9.329,49.884,3,9.199,49.891
4,9.395,59.535,1,9.381,59.098,5,9.362,59.536,2,9.349,59.232,3,9.393,59.283
5,9.683,1:09.218,1,9.278,1:08.375,4,9.633,1:09.169,2,9.448,1:08.680,3,9.853,1:09.136
4,9.747,1:18.964,1,9.563,1:17.938,5,9.937,1:19.106,2,9.648,1:18.327,3,9.748,1:18.883
5,10.49,1:29.445,1,10.33,1:28.262,4,10.01,1:29.108,2,10.37,1:28.694,3,10.20,1:29.076
