Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,13.21,13.21,3,13.32,13.32,2,13.28,13.28,4,13.49,13.49
3,10.19,23.40,1,10.01,23.33,2,10.06,23.34,4,10.08,23.57
4,9.68,33.08,1,9.57,32.90,2,9.65,32.99,3,9.50,33.07
4,9.23,42.31,1,9.05,41.95,3,9.19,42.18,2,9.03,42.10
4,9.08,51.39,1,9.16,51.11,3,9.05,51.23,2,9.09,51.19
4,9.03,1:00.42,3,9.20,1:00.31,1,8.79,1:00.02,2,9.06,1:00.25
3,9.14,1:09.56,4,9.42,1:09.73,1,8.87,1:08.89,2,9.09,1:09.34
3,9.23,1:18.79,4,9.80,1:19.53,1,9.31,1:18.20,2,9.14,1:18.48
3,9.38,1:28.165,4,10.98,1:30.506,1,9.47,1:27.669,2,9.45,1:27.926
