SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,7.31,7.31,4,7.61,7.61,1,7.20,7.20,3,7.44,7.44
2,9.28,16.59,4,9.18,16.79,1,9.28,16.48,3,9.22,16.66
2,8.66,25.25,4,8.71,25.50,1,8.61,25.09,3,8.59,25.25
3,8.94,34.19,4,8.83,34.33,1,8.69,33.78,2,8.68,33.93
3,8.98,43.164,4,8.95,43.279,1,8.84,42.620,2,8.76,42.690
