Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
2,7.26,7.26,1,7.03,7.03,4,7.49,7.49,3,7.44,7.44
1,9.15,16.41,2,9.40,16.43,4,9.51,17.00,3,9.12,16.56
1,8.72,25.13,3,9.16,25.59,4,9.16,26.16,2,8.70,25.26
2,8.89,34.02,3,9.23,34.82,4,9.21,35.37,1,8.64,33.90
2,8.94,42.959,3,9.52,44.336,4,9.65,45.015,1,8.94,42.839
