Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Philemon RAINER POSITION,Philemon RAINER LAP TIME,Philemon RAINER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME
1,13.38,13.38,3,13.59,13.59,5,13.94,13.94,2,13.46,13.46,4,13.68,
1,9.89,23.27,3,9.89,23.48,5,9.87,23.81,2,9.91,23.37,4,9.89,
1,9.54,32.81,3,9.54,33.02,5,9.60,33.41,2,9.55,32.92,4,9.47,
1,9.53,42.34,3,9.51,42.53,5,9.85,43.26,2,9.53,42.45,4,9.50,
2,9.67,52.01,3,9.61,52.14,5,10.29,53.55,1,9.52,51.97,4,9.74,
5,16.64,1:08.65,2,9.44,1:01.58,3,10.64,1:04.19,1,9.49,1:01.46,4,15.88,
5,13.36,1:22.01,2,9.44,1:11.02,3,10.97,1:15.16,1,9.31,1:10.77,4,13.27,
5,10.61,1:32.62,2,10.10,1:21.12,3,11.36,1:26.52,1,9.34,1:20.11,4,10.52,
5,10.48,1:43.10,2,10.56,1:31.68,3,11.45,1:37.97,1,9.39,1:29.50,4,10.86,
