LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME
2,6.808,6.808,4,7.137,7.137,3,6.955,6.955,1,6.563,6.563
2,9.157,15.964,3,9.166,16.302,4,9.390,16.345,1,9.134,15.697
2,8.689,24.652,4,8.738,25.040,3,8.494,24.839,1,8.955,24.651
2,8.800,33.451,4,8.710,33.750,3,8.713,33.552,1,8.651,33.302
1,8.92,42.370,3,8.79,42.533,4,9.33,42.876,2,9.20,42.493
