LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME
4,16.69,16.69,2,16.34,16.34,1,16.22,16.22,3,16.48,16.48
4,13.50,30.19,2,13.53,29.87,1,13.44,29.66,3,13.48,29.96
4,12.40,42.59,2,12.35,42.22,1,12.49,42.15,3,12.28,42.24
4,9.97,52.56,2,9.73,51.95,3,10.17,52.32,1,9.57,51.81
4,9.15,1:01.71,2,9.23,1:01.18,3,9.15,1:01.47,1,9.26,1:01.07
4,8.94,1:10.65,2,9.09,1:10.27,3,8.92,1:10.39,1,9.09,1:10.16
4,8.86,1:19.51,2,9.05,1:19.32,3,9.01,1:19.40,1,9.08,1:19.24
1,9.01,1:28.52,4,9.48,1:28.80,3,9.28,1:28.68,2,9.31,1:28.55
1,9.08,1:37.599,3,10.62,1:39.419,4,23.62,1:52.300,2,10.07,1:38.615
