TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Ivan MOJSILOVIC POSITION,Ivan MOJSILOVIC LAP TIME,Ivan MOJSILOVIC ELAPSED TIME,Matej FILIP POSITION,Matej FILIP LAP TIME,Matej FILIP ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME
2,7.29,7.29,1,7.00,7.00,4,7.74,7.74,5,7.82,7.82,3,7.69,7.69
3,9.45,16.74,1,9.25,16.25,5,10.67,18.41,4,9.97,17.79,2,9.04,16.73
3,9.16,25.90,1,9.06,25.31,5,10.17,28.58,4,9.50,27.29,2,8.82,25.55
3,9.19,35.09,2,9.29,34.60,5,10.21,38.79,4,9.84,37.13,1,8.82,34.37
3,9.34,44.430,2,9.33,43.926,5,10.46,49.245,4,10.22,47.349,1,8.98,43.344
