Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME
1,12.350,12.350,1,12.350,12.350,3,12.490,12.490,4,12.560,12.560
1,9.690,22.040,2,9.730,22.080,3,9.620,22.120,4,9.810,22.370
2,9.290,31.340,1,9.240,31.330,3,9.230,31.350,4,9.090,31.470
2,9.410,40.750,1,9.330,40.660,2,9.400,40.750,4,9.410,40.890
4,9.500,50.260,1,9.520,50.190,2,9.450,50.200,3,9.360,50.250
2,9.380,59.650,1,9.410,59.600,3,9.440,59.650,4,9.480,59.740
1,9.330,1:08.980,2,9.380,1:08.990,4,9.370,1:09.020,3,9.270,1:09.010
2,9.300,1:18.280,1,9.250,1:18.240,3,9.290,1:18.320,4,9.320,1:18.340
1,9.280,1:27.560,2,9.360,1:27.600,4,9.310,1:27.640,3,9.280,1:27.620
