Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
5,8.18,8.18,4,7.98,7.98,2,7.70,7.70,3,7.83,7.83,1,7.55,7.55,6,8.33,8.33,7,8.53,8.53
2,10.51,18.69,1,10.62,18.60,4,11.12,18.82,5,11.11,18.94,3,11.17,18.72,6,10.72,19.05,7,10.63,19.16
6,10.27,28.96,2,10.17,28.77,3,10.05,28.87,4,9.93,28.87,1,9.94,28.66,5,9.88,28.93,7,9.95,29.11
6,10.25,39.21,4,10.24,39.01,5,10.24,39.11,1,9.86,38.73,3,10.24,38.90,2,9.87,38.80,7,10.25,39.36
6,10.35,49.56,4,10.48,49.49,5,10.42,49.53,1,10.49,49.22,3,10.54,49.44,2,10.51,49.31,7,10.27,49.63
4,9.73,59.29,5,9.81,59.30,6,9.85,59.38,2,9.89,59.11,1,9.52,58.96,3,9.90,59.21,7,9.92,59.55
6,9.91,1:09.20,5,9.85,1:09.15,4,9.72,1:09.10,3,9.87,1:08.98,2,9.93,1:08.89,1,9.59,1:08.80,7,9.81,1:09.36
6,9.95,1:19.15,5,9.97,1:19.12,4,9.93,1:19.03,3,10.04,1:19.02,2,9.98,1:18.87,1,10.06,1:18.86,7,9.88,1:19.24
5,10.12,1:29.27,6,10.26,1:29.38,4,10.13,1:29.16,3,10.01,1:29.03,1,9.95,1:28.82,2,10.07,1:28.93,7,10.29,1:29.53
5,9.58,1:38.85,6,9.58,1:38.96,4,9.58,1:38.74,3,9.60,1:38.63,2,9.64,1:38.46,1,9.52,1:38.45,7,9.58,1:39.11
5,9.32,1:48.17,6,9.35,1:48.31,4,9.35,1:48.09,3,9.42,1:48.05,1,9.39,1:47.85,2,9.42,1:47.87,7,9.46,1:48.57
5,9.49,1:57.66,6,9.51,1:57.82,4,9.41,1:57.50,3,9.35,1:57.40,1,9.30,1:57.15,2,9.38,1:57.25,7,9.50,1:58.07
5,9.09,2:06.75,6,9.27,2:07.09,3,9.03,2:06.53,4,9.15,2:06.55,1,9.18,2:06.33,2,9.18,2:06.43,7,9.65,2:07.72
4,9.50,2:16.241,5,9.53,2:16.616,3,9.39,2:15.915,7,23.67,2:30.220,1,9.44,2:15.769,2,9.44,2:15.868,6,10.19,2:17.906
