Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
2,7.44,7.44,1,7.32,7.32,4,7.70,7.70,3,7.58,7.58
2,9.64,17.08,1,9.51,16.83,4,9.72,17.42,3,9.76,17.34
2,9.34,26.42,1,9.12,25.95,4,9.24,26.66,3,9.27,26.61
4,9.92,36.34,1,9.42,35.37,2,9.21,35.87,3,9.57,36.18
4,9.86,46.191,1,9.61,44.976,2,9.58,45.447,3,9.87,46.043
