DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
1,7.41,7.41,2,7.58,7.58,3,7.68,7.68,4,7.85,7.85
1,9.61,17.02,2,9.53,17.11,3,9.53,17.21,4,9.68,17.53
1,9.15,26.17,2,9.18,26.29,3,9.20,26.41,4,9.43,26.96
1,9.24,35.41,2,9.14,35.43,3,9.21,35.62,4,9.79,36.75
2,9.39,44.80,1,9.25,44.68,3,9.29,44.91,4,10.19,46.94
