Pier-Olivier GAGNON POSITION,Pier-Olivier GAGNON LAP TIME,Pier-Olivier GAGNON ELAPSED TIME,Julian WOOD POSITION,Julian WOOD LAP TIME,Julian WOOD ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME
4,14.87,14.87,5,14.88,14.88,2,14.60,14.60,3,14.71,14.71,1,14.46,14.46
3,12.06,26.93,1,11.85,26.73,5,12.52,27.12,4,12.37,27.08,2,12.47,26.93
3,10.72,37.65,1,10.68,37.41,4,10.57,37.69,5,10.73,37.81,2,10.65,37.58
3,10.09,47.74,2,10.30,47.71,5,10.28,47.97,1,9.81,47.62,4,10.39,47.97
1,9.61,57.35,3,9.85,57.56,2,9.53,57.50,5,10.02,57.64,4,9.64,57.61
1,9.37,1:06.72,5,10.33,1:07.89,2,9.46,1:06.96,4,10.17,1:07.81,3,9.93,1:07.54
1,9.89,1:16.61,4,9.61,1:17.50,2,9.74,1:16.70,5,10.17,1:17.98,3,9.89,1:17.43
2,10.04,1:26.65,3,10.07,1:27.57,1,9.84,1:26.54,5,10.14,1:28.12,4,10.22,1:27.65
2,10.46,1:37.102,3,10.52,1:38.089,1,10.25,1:36.781,5,10.73,1:38.841,4,10.57,1:38.219
