MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,BINEY Maame POSITION,BINEY Maame LAP TIME,BINEY Maame ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,VOLKOVITSKAYA Alyona POSITION,VOLKOVITSKAYA Alyona LAP TIME,VOLKOVITSKAYA Alyona ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME
2,7.62,7.62,1,7.44,7.44,3,7.73,7.73,5,8.21,8.21,4,7.90,7.90
2,9.49,17.11,1,9.58,17.02,3,9.55,17.28,5,9.85,18.06,4,9.89,17.79
2,9.24,26.35,1,9.23,26.25,3,9.17,26.45,5,9.27,27.33,4,9.52,27.31
1,9.30,35.65,2,9.47,35.72,3,9.43,35.88,4,9.44,36.77,5,9.57,36.88
1,9.77,45.42,2,9.79,45.51,3,9.74,45.62,4,9.77,46.546,5,9.73,46.613
