Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Mike WESTERMAN POSITION,Mike WESTERMAN LAP TIME,Mike WESTERMAN ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Dennis WALZER POSITION,Dennis WALZER LAP TIME,Dennis WALZER ELAPSED TIME
1,14.272,14.272,3,14.352,14.352,2,14.342,14.342,4,14.780,14.780
2,12.163,26.434,3,12.210,26.562,4,12.330,26.672,1,11.311,26.090
1,11.515,37.949,4,11.819,38.381,2,11.588,38.261,3,12.189,38.279
1,9.848,47.797,3,9.670,48.051,4,9.802,48.062,2,9.770,48.049
1,9.433,57.230,4,9.577,57.628,2,9.284,57.347,3,9.419,57.467
2,9.311,1:06.541,3,9.150,1:06.778,1,8.963,1:06.309,4,9.462,1:06.930
2,9.358,1:15.899,4,9.469,1:16.248,1,9.480,1:15.789,3,9.288,1:16.218
2,9.486,1:25.385,3,9.455,1:25.703,1,9.437,1:25.226,4,10.003,1:26.220
2,9.417,1:34.802,3,9.475,1:35.178,1,9.428,1:34.653,4,10.040,1:36.261
