Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,12.38,12.38,4,13.16,13.16,3,12.75,12.75,2,12.52,12.52
1,9.39,21.77,4,9.16,22.32,3,9.24,21.99,2,9.33,21.85
1,9.45,31.22,4,9.32,31.64,3,9.45,31.44,2,9.44,31.29
1,9.48,40.70,4,9.37,41.01,3,9.45,40.89,2,9.47,40.76
2,9.50,50.20,4,9.42,50.43,3,9.41,50.30,1,9.39,50.15
4,9.62,59.82,3,9.16,59.59,2,9.15,59.45,1,9.16,59.31
4,9.79,1:09.61,3,9.16,1:08.75,2,9.19,1:08.64,1,9.19,1:08.50
4,10.21,1:19.82,3,9.20,1:17.95,2,9.15,1:17.79,1,9.20,1:17.70
4,10.88,1:30.694,3,9.58,1:27.529,2,9.45,1:27.232,1,9.48,1:27.171
