Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME
3,17.30,17.30,2,17.15,17.15,4,17.41,17.41,5,17.59,17.59,1,17.03,17.03
3,12.46,29.76,2,12.47,29.62,4,12.46,29.87,5,12.47,30.06,1,12.41,29.44
3,10.94,40.70,2,11.02,40.64,5,10.92,40.79,4,10.70,40.76,1,11.14,40.58
3,9.82,50.52,2,9.77,50.41,5,9.88,50.67,1,9.61,50.37,3,9.94,50.52
3,9.35,59.87,2,9.35,59.76,4,9.31,59.98,1,9.28,59.65,5,9.57,1:00.09
3,9.23,1:09.10,2,9.22,1:08.98,4,9.22,1:09.20,1,9.21,1:08.86,5,9.23,1:09.32
3,9.13,1:18.23,2,9.11,1:18.09,4,9.16,1:18.36,1,9.13,1:17.99,5,9.20,1:18.52
3,8.97,1:27.20,2,8.93,1:27.02,4,9.12,1:27.48,1,8.89,1:26.88,5,9.19,1:27.71
3,9.11,1:36.287,2,9.06,1:36.08,4,9.29,1:36.763,1,9.10,1:35.98,5,9.63,1:37.318
