Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
3,7.23,7.23,1,6.88,6.88,2,7.15,7.15,5,8.23,8.23,4,7.41,7.41
3,9.34,16.57,1,8.83,15.71,2,8.96,16.11,5,9.45,17.68,4,9.25,16.66
4,9.01,25.58,1,8.53,24.24,2,8.49,24.60,5,8.63,26.31,3,8.74,25.40
4,9.01,34.59,1,8.78,33.02,2,8.56,33.16,5,8.82,35.13,3,8.82,34.22
4,9.15,43.74,2,9.05,42.07,1,8.73,41.89,5,9.31,44.44,3,9.00,43.22
