Shani DAVIS POSITION,Shani DAVIS LAP TIME,Shani DAVIS ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME
1,13.550,13.550,3,13.820,13.820,2,13.610,13.610,4,13.900,13.900
1,11.030,24.580,3,11.050,24.880,2,11.100,24.720,4,11.090,24.990
1,10.780,35.370,4,10.790,35.680,2,10.720,35.440,3,10.680,35.670
2,10.750,46.120,1,10.420,46.100,3,10.750,46.190,4,10.650,46.320
3,9.910,56.030,2,9.850,55.960,1,9.590,55.790,4,9.870,56.190
2,9.700,1:05.740,3,9.820,1:05.780,1,9.730,1:05.530,4,9.690,1:05.890
3,9.950,1:15.690,2,9.880,1:15.660,1,9.810,1:15.340,4,10.050,1:15.950
3,9.790,1:25.480,2,9.770,1:25.430,1,9.580,1:24.930,4,10.420,1:26.370
2,9.660,1:35.140,3,10.140,1:35.580,1,9.790,1:34.720,4,11.380,1:37.750
