Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME
1,7.21,7.21,2,7.39,7.39,4,7.61,7.61,3,7.60,7.60
4,9.77,16.98,2,9.48,16.87,1,9.15,16.76,3,9.33,16.93
4,9.37,26.35,3,9.10,25.97,1,8.67,25.43,2,8.95,25.88
4,9.34,35.69,3,9.00,34.97,1,8.72,34.15,2,8.90,34.78
4,9.68,45.37,3,9.07,44.04,1,8.97,43.12,2,9.02,43.80
