VERNIKOV Evgeni POSITION,VERNIKOV Evgeni LAP TIME,VERNIKOV Evgeni ELAPSED TIME,YOO Ji-Hoon POSITION,YOO Ji-Hoon LAP TIME,YOO Ji-Hoon ELAPSED TIME,Malcolm THERRIEN POSITION,Malcolm THERRIEN LAP TIME,Malcolm THERRIEN ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME
3,13.262,13.262,1,12.426,12.426,2,13.151,13.151,4,13.499,13.499
2,10.309,23.571,1,11.031,23.456,3,10.439,23.589,4,15.243,28.741
3,9.913,33.483,2,10.014,33.469,4,10.008,33.596,1,4.660,33.401
4,10.455,43.938,1,9.533,43.002,3,9.790,43.386,2,9.816,43.216
3,9.598,53.535,1,10.086,53.088,2,10.133,53.519,4,10.437,53.653
3,9.890,1:03.425,1,9.776,1:02.863,4,9.917,1:03.435,2,9.378,1:03.031
4,10.538,1:13.963,2,9.760,1:12.622,3,9.407,1:12.842,1,8.246,1:11.277
4,11.178,1:25.140,2,9.845,1:22.467,1,9.585,1:22.426,3,12.181,1:23.458
4,11.56,1:36.692,2,10.19,1:32.656,1,9.90,1:32.320,3,9.39,1:32.848
