Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
3,15.49,15.49,2,15.31,15.31,1,15.20,15.20,4,15.61,15.61
4,11.99,27.48,2,12.00,27.31,1,11.97,27.17,3,11.75,27.36
4,10.03,37.51,3,10.04,37.35,2,10.09,37.26,1,9.84,37.20
4,9.79,47.30,2,9.69,47.04,3,9.87,47.13,1,9.73,46.93
4,9.37,56.67,1,9.18,56.22,3,9.26,56.39,2,9.43,56.36
3,8.76,1:05.43,1,8.85,1:05.07,2,8.85,1:05.24,4,9.65,1:06.01
3,8.64,1:14.07,2,8.84,1:13.91,1,8.66,1:13.90,4,9.20,1:15.21
2,8.95,1:23.02,3,9.70,1:23.61,1,8.92,1:22.82,4,9.56,1:24.77
2,8.87,1:31.881,0,,PEN,1,9.04,1:31.853,3,10.28,1:35.044
