Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME
5,9.45,9.45,3,9.35,9.35,2,9.22,9.22,6,9.60,,4,9.40,,1,9.08,
5,12.76,22.21,3,12.54,21.89,2,12.63,21.85,6,12.71,,4,12.65,,1,12.69,
5,12.51,34.72,4,12.68,34.57,2,12.61,34.46,6,12.52,,3,12.45,,1,12.59,
5,11.96,46.68,4,12.02,46.59,2,11.90,46.36,6,11.94,,3,11.97,,1,11.87,
4,11.29,57.97,5,11.45,58.04,3,11.56,57.92,6,11.29,,2,11.32,,1,11.43,
2,10.21,1:08.18,5,10.26,1:08.30,2,10.26,1:08.18,6,10.29,,4,10.44,,1,10.41,
1,9.72,1:17.90,5,10.09,1:18.39,3,9.93,1:18.11,6,10.14,,4,10.01,,2,9.92,
3,9.99,1:27.89,5,9.62,1:28.01,3,9.78,1:27.89,6,9.59,,1,9.49,,1,9.74,
1,9.53,1:37.42,3,9.54,1:37.55,6,9.95,1:37.84,4,9.63,,5,10.03,,2,9.78,
1,9.57,1:46.99,2,9.62,1:47.17,6,9.75,1:47.59,5,9.71,,4,9.58,,3,9.77,
1,9.46,1:56.45,2,9.43,1:56.60,3,9.56,1:57.15,6,36.14,,4,9.98,,5,35.15,
2,9.39,2:05.84,1,9.17,2:05.77,3,9.38,2:06.53,5,14.11,,4,10.06,,6,18.99,
2,9.48,2:15.32,1,9.42,2:15.19,3,9.65,2:16.18,5,10.83,,4,10.46,,6,11.62,
2,9.52,2:24.84,1,9.45,2:24.64,3,10.06,2:26.246,5,14.29,,4,10.78,,6,12.67,
