Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
1,13.711,13.711,2,13.765,13.765,3,14.443,14.443,0,,
1,10.640,24.351,2,10.785,24.551,3,10.260,24.702,0,,
1,10.529,34.880,2,10.574,35.125,3,10.769,35.471,0,,
1,10.556,45.436,2,10.493,45.617,3,10.593,46.065,0,,
1,10.310,55.745,2,10.381,55.998,3,11.308,57.373,0,,
1,10.072,1:05.817,2,10.108,1:06.106,3,11.868,1:09.241,0,,
2,9.560,1:15.378,1,9.165,1:15.270,3,12.166,1:21.406,0,,
2,9.232,1:24.609,1,9.088,1:24.358,3,11.862,1:33.268,0,,
2,9.074,1:33.683,1,9.185,1:33.543,3,11.989,1:45.257,0,,
