MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME
2,13.51,13.51,1,13.43,13.43,3,13.61,13.61,4,13.67,13.67,5,13.81,13.81
3,10.51,24.02,2,10.52,23.95,4,10.51,24.12,1,10.17,23.84,5,10.41,24.22
3,9.87,33.89,2,9.84,33.79,4,9.80,33.92,1,9.94,33.78,5,9.87,34.09
4,9.66,43.55,1,9.59,43.38,3,9.62,43.54,2,9.69,43.47,5,9.89,43.98
4,9.59,53.14,1,9.48,52.86,3,9.51,53.05,2,9.48,52.95,5,9.74,53.72
4,9.41,1:02.55,1,9.34,1:02.20,2,9.26,1:02.31,3,9.48,1:02.43,5,9.94,1:03.66
4,9.44,1:11.99,1,9.29,1:11.49,2,9.31,1:11.62,3,9.41,1:11.84,5,10.25,1:13.91
4,9.68,1:21.67,1,9.46,1:20.95,2,9.47,1:21.09,3,9.73,1:21.57,5,10.68,1:24.59
4,10.25,1:31.92,1,9.54,1:30.49,2,9.68,1:30.77,3,10.22,1:31.79,5,11.15,1:35.74
