Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,6.80,6.80,1,6.60,6.60,3,6.90,6.90,4,7.07,7.07
2,8.68,15.48,1,8.75,15.35,3,8.70,15.60,4,8.72,15.79
2,8.29,23.77,1,8.41,23.76,3,8.32,23.92,4,8.35,24.14
1,8.52,32.29,3,8.68,32.44,2,8.45,32.37,4,8.44,32.58
1,8.52,40.810,3,8.60,41.034,2,8.56,40.926,4,8.55,41.124
