Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME
3,14.26,14.26,1,14.09,14.09,4,14.52,14.52,2,14.19,14.19
4,11.80,26.06,1,11.71,25.80,2,11.37,25.89,2,11.70,25.89
4,10.84,36.90,2,10.96,36.76,3,10.97,36.86,1,10.77,36.66
4,10.71,47.61,2,10.67,47.43,3,10.68,47.54,1,10.66,47.32
4,10.18,57.79,1,10.15,57.58,3,10.21,57.75,2,10.30,57.62
4,9.70,1:07.49,1,9.60,1:07.18,3,9.64,1:07.39,2,9.65,1:07.27
4,9.62,1:17.11,1,9.63,1:16.81,2,9.63,1:17.02,2,9.75,1:17.02
3,9.96,1:27.07,1,9.64,1:26.45,2,9.63,1:26.65,4,10.18,1:27.20
3,10.08,1:37.15,1,9.77,1:36.22,2,9.67,1:36.32,4,10.10,1:37.30
