Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Nathaniel HENRY POSITION,Nathaniel HENRY LAP TIME,Nathaniel HENRY ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
1,8.75,8.75,6,9.40,9.40,3,9.01,9.01,4,9.12,9.12,5,9.23,9.23,2,8.89,8.89
1,12.02,20.77,6,12.00,21.40,3,12.00,21.01,4,12.03,21.15,5,12.01,21.24,2,12.02,20.91
1,11.15,31.92,6,11.07,32.47,3,11.13,32.14,4,11.10,32.25,5,11.11,32.35,2,11.13,32.04
1,10.96,42.88,5,10.69,43.16,2,10.82,42.96,4,10.88,43.13,6,10.91,43.26,3,11.00,43.04
2,10.10,52.98,1,9.74,52.90,3,10.07,53.03,5,10.01,53.14,6,9.90,53.16,4,10.06,53.10
3,9.49,1:02.47,2,9.48,1:02.38,4,9.53,1:02.56,6,9.64,1:02.78,1,9.10,1:02.26,5,9.53,1:02.63
6,9.52,1:11.99,3,9.52,1:11.90,5,9.41,1:11.97,4,9.19,1:11.97,2,9.56,1:11.82,1,9.02,1:11.65
5,9.13,1:21.12,3,9.05,1:20.95,6,9.22,1:21.19,4,9.07,1:21.04,2,9.04,1:20.86,1,9.10,1:20.75
4,8.90,1:30.02,2,8.92,1:29.87,6,8.99,1:30.18,5,9.05,1:30.09,3,9.13,1:29.99,1,9.12,1:29.87
3,8.81,1:38.83,1,8.78,1:38.65,5,8.87,1:39.05,4,8.89,1:38.98,6,9.35,1:39.34,2,8.84,1:38.71
3,8.86,1:47.69,1,8.84,1:47.49,4,8.75,1:47.80,5,8.97,1:47.95,6,9.26,1:48.60,2,8.89,1:47.60
3,9.03,1:56.72,1,8.88,1:56.37,4,8.93,1:56.73,5,9.21,1:57.16,6,9.56,1:58.16,2,9.09,1:56.69
3,9.34,2:06.06,1,9.04,2:05.41,2,9.19,2:05.92,5,9.75,2:06.91,6,9.97,2:08.13,4,9.41,2:06.10
4,9.62,2:15.678,1,9.59,2:15.000,2,9.16,2:15.078,5,10.84,2:17.744,6,10.32,2:18.445,3,9.42,2:15.521
