WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME
1,6.63,6.63,3,6.94,6.94,2,6.76,6.76,4,7.07,7.07
1,8.66,15.29,3,8.67,15.61,2,8.63,15.39,4,8.68,15.75
2,8.40,23.69,3,18.53,34.14,1,8.21,23.60,4,18.91,34.66
2,8.45,32.14,3,10.62,44.76,1,8.42,32.02,4,10.44,45.10
2,8.55,40.684,3,9.20,53.957,1,8.63,40.647,4,8.89,53.990
