Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
1,11.99,11.99,2,12.22,12.22,3,12.32,12.32
1,8.63,20.62,2,8.55,20.77,3,8.82,21.14
1,8.86,29.48,2,9.12,29.89,3,8.84,29.98
1,8.80,38.28,2,8.89,38.78,3,8.99,38.97
1,9.25,47.53,2,9.13,47.91,3,9.06,48.03
1,9.12,56.65,2,9.19,57.10,3,9.11,57.14
1,8.93,1:05.58,2,8.83,1:05.93,3,9.00,1:06.14
1,9.01,1:14.59,2,9.15,1:15.08,3,9.66,1:15.80
2,9.86,1:24.444,1,9.21,1:24.282,3,12.12,1:27.911
