Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME
2,14.550,14.550,3,14.790,14.790,1,14.540,14.540,4,14.870,14.870
2,10.780,25.340,1,10.440,25.240,3,10.880,25.430,4,10.600,25.470
1,9.960,35.300,4,10.420,35.670,3,10.160,35.590,2,10.000,35.470
1,10.430,45.740,3,10.160,45.830,4,10.810,46.400,2,10.310,45.780
1,10.320,56.060,3,10.470,56.310,4,9.980,56.380,2,10.470,56.260
1,10.120,1:06.180,3,10.030,1:06.340,4,10.020,1:06.410,2,9.950,1:06.220
2,9.520,1:15.710,3,9.660,1:16.010,4,9.690,1:16.100,1,9.420,1:15.640
2,9.870,1:25.580,3,9.590,1:25.600,4,9.680,1:25.790,1,9.680,1:25.330
2,9.830,1:35.420,4,9.950,1:35.550,1,9.560,1:35.360,3,10.120,1:35.450
