Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
1,7.29,7.29,3,7.63,7.63,2,7.48,7.48,4,7.83,7.83,5,7.93,7.93
1,9.48,16.77,3,9.50,17.13,2,9.41,16.89,5,9.98,17.81,4,9.62,17.55
1,9.04,25.81,3,8.95,26.08,1,8.92,25.81,5,9.70,27.51,4,9.03,26.58
2,9.28,35.09,3,9.16,35.24,1,9.07,34.88,5,10.03,37.54,4,9.07,35.65
2,9.34,44.43,3,9.25,44.49,1,9.38,44.26,5,10.40,47.94,4,9.18,44.83
