Yaroslav KARPOUKHIN POSITION,Yaroslav KARPOUKHIN LAP TIME,Yaroslav KARPOUKHIN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME
1,6.786,6.786,2,6.840,6.840,4,7.164,7.164,3,6.956,6.956
2,9.236,16.021,1,9.118,15.958,4,9.240,16.404,3,9.093,16.049
3,8.961,24.982,1,8.735,24.693,4,8.844,25.247,2,8.685,24.733
3,8.968,33.950,2,9.052,33.745,4,9.032,34.279,1,8.773,33.505
3,9.55,43.492,2,9.08,42.819,4,9.37,43.648,1,9.03,42.532
