KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Ryan McANUFF POSITION,Ryan McANUFF LAP TIME,Ryan McANUFF ELAPSED TIME
3,8.14,8.14,6,8.60,8.60,5,8.46,8.46,1,7.73,7.73,2,7.99,7.99,4,8.27,8.27,7,8.76,8.76
3,9.63,17.77,6,9.71,18.31,5,9.60,18.06,1,9.76,17.49,2,9.64,17.63,4,9.63,17.90,7,9.66,18.42
3,9.22,26.99,6,9.04,27.35,5,9.12,27.18,1,9.30,26.79,2,9.27,26.90,4,9.16,27.06,7,9.04,27.46
3,9.35,36.34,6,9.25,36.60,5,9.33,36.51,1,9.33,36.12,2,9.37,36.27,4,9.35,36.41,7,9.27,36.73
3,9.52,45.86,6,9.52,46.12,5,9.52,46.03,1,9.48,45.60,2,9.48,45.75,4,9.53,45.94,7,9.50,46.23
2,9.33,55.19,6,9.53,55.65,5,9.48,55.51,1,9.43,55.03,4,9.63,55.38,3,9.40,55.34,7,9.53,55.76
2,9.49,1:04.68,4,9.28,1:04.93,6,9.69,1:05.20,1,9.57,1:04.60,7,10.10,1:05.48,3,9.43,1:04.77,5,9.25,1:05.01
2,9.71,1:14.39,4,9.64,1:14.57,5,9.47,1:14.67,1,9.71,1:14.31,7,10.77,1:16.25,3,9.71,1:14.48,6,9.76,1:14.77
1,9.68,1:24.07,4,9.86,1:24.43,5,9.89,1:24.56,3,10.00,1:24.31,7,11.28,1:27.53,2,9.79,1:24.27,5,9.79,1:24.56
2,10.03,1:34.10,3,9.79,1:34.22,6,10.10,1:34.66,5,10.06,1:34.37,7,11.66,1:39.19,1,9.76,1:34.03,4,9.80,1:34.36
2,9.81,1:43.91,4,10.03,1:44.25,5,9.87,1:44.53,6,10.42,1:44.79,7,12.12,1:51.31,1,9.78,1:43.81,3,9.86,1:44.22
2,9.73,1:53.64,4,10.11,1:54.36,5,10.03,1:54.56,6,10.69,1:55.48,7,12.95,2:04.26,1,9.66,1:53.47,3,9.87,1:54.09
2,9.68,2:03.32,4,10.29,2:04.65,5,10.28,2:04.84,6,10.92,2:06.40,7,12.59,2:16.85,1,9.74,2:03.21,3,9.92,2:04.01
1,9.82,2:13.148,4,10.49,2:15.148,5,10.46,2:15.306,6,11.23,2:17.632,7,12.21,2:29.061,2,10.15,2:13.366,3,10.40,2:14.413
